Time (s),A_x,A_y,A_z,Gyr_x,Gyr_y,Gyr_z,freq,speed,state
0.849677542,1.800001604,0.462161002,1.385997101,1.200948715,-0.977303743,-0.173677117,997.3179553,-0.914347536,walking
0.899678583,0.360235847,-0.329732677,1.427218802,-0.5851174,0.4111197,0.143292308,999.1511869,-0.288841639,walking
0.949679625,-0.253928788,-0.591954571,-0.222079882,-0.662442267,0.812940121,-0.043643828,999.2006974,-0.271980281,walking
0.999680667,-0.359934715,-0.344275872,-0.397972315,-0.466297537,0.307245195,0.168566212,1000.207711,0.070607228,walking
1.01768965,0.531099674,-0.076175187,0.042691399,0.266479462,-0.729097724,0.148917645,999.8709269,-0.043890527,walking
1.049681708,0.737191806,0.496022227,0.243436545,0.115009777,-0.83280468,0.251346588,1001.944853,0.659966474,walking
1.09968275,0.930034733,0.461179839,0.610511587,0.714722216,-0.286162823,-0.472400993,996.2579152,-1.277087804,walking
1.149683792,-0.856213051,-0.545691986,-0.380451425,-0.150834993,0.469875038,0.056217916,1003.455067,1.170678101,walking
1.199684833,-0.129795908,1.36334031,0.412171401,0.900571168,-1.793303967,-0.099972755,996.2028349,-1.295957082,walking
1.21768965,-0.521885632,-1.107503575,0.327759826,-1.473437786,1.388912559,-0.470498204,996.9994511,-1.023256955,walking
1.249685875,-0.502013869,0.055638011,-0.76740817,0.691094339,-0.490518361,0.30151856,1000.489232,0.166257512,walking
1.299686917,0.490203078,0.111830338,0.01241627,-0.333785892,0.327491581,-0.011956722,996.7295028,-1.115617678,walking
1.366484333,-0.4322484,-0.681641504,0.287769549,-0.352852792,0.279185236,-0.040330879,1000.039021,0.013266616,walking
1.416485375,-1.244171716,-0.587383218,0.50567715,0.137663379,0.615847468,0.70436424,1003.19198,1.081819913,walking
1.41768965,1.255650385,1.32406924,-0.846223083,0.212357044,-0.181414768,-0.249763444,998.0430047,-0.6666831,walking
1.466486417,-0.006432522,-0.52152135,-0.119688996,0.199731261,0.163036913,-0.558553398,996.9459826,-1.041546807,walking
1.516487458,-0.286220622,-0.384835083,-0.353817212,-0.765211046,0.108793274,-0.507354975,1001.876088,0.636675481,walking
1.5664885,-1.799985232,-1.182098259,0.192225753,-0.892361522,0.929277062,-0.003237437,996.6949876,-1.127430374,walking
1.616489542,-0.584367224,-0.348767118,0.558153864,0.636178911,-0.666759968,-0.065453202,1002.161586,0.733354181,walking
1.61768965,0.253332372,-0.551647375,-0.636508893,-0.64392519,0.553997874,0.870500982,996.6665073,-1.137178295,walking
1.666490583,-0.44758974,0.063545786,0.051003216,-0.874260902,0.821611941,0.468572795,1000.917507,0.311666493,walking
1.716491625,-2.526678362,0.984540138,-2.070260204,-1.377978325,0.287646741,0.332521349,1003.890802,1.317745681,walking
1.766492667,1.797337028,0.676690081,1.953918446,-0.125629291,2.8126266,1.141799927,997.2054179,-0.952820659,walking
1.816493709,1.400742025,-1.700940415,0.032736368,1.776810288,-2.958964348,-0.878615558,996.1959611,-1.298312067,walking
1.81768965,-1.245068094,-0.985284489,-0.287863104,-0.110005625,0.091330461,-0.885748625,1000.127008,0.043177226,walking
1.885505875,-0.998051884,-1.094416337,0.756937854,-0.857730985,0.210377082,0.708015025,997.3126584,-0.916158164,walking
1.935506917,0.675166882,0.050553857,-0.680992755,-0.56916064,0.518017829,0.913399398,995.986633,-1.370043268,walking
1.985507958,0.995502498,1.086353611,-0.021053777,-1.088620424,0.486946404,0.6610322,997.506457,-0.849923945,walking
2.01768965,1.108667756,2.082085905,0.23058875,0.23149392,-0.209992394,-0.805561483,1002.457682,0.833563151,walking
2.035509,-3.19633015,-1.459675234,-0.768171817,-2.455185175,2.523574114,-0.206531867,1004.368304,1.478763581,walking
2.085510042,-1.403251065,0.331884452,-0.855015541,1.063094139,-1.413848877,1.344197631,1004.240719,1.435755872,walking
2.135511083,5.04026247,0.914619718,1.320300417,0.445046395,0.036574855,0.398066551,1000.220871,0.075079529,walking
2.185512125,1.278241103,-0.988288788,-0.577462539,2.098588467,-2.449318886,-1.225793123,1001.150278,0.390645288,walking
2.21768965,-2.61682781,-3.177020305,3.177995329,-1.548317909,2.504911423,-1.056854606,1003.249601,1.101285553,walking
2.235513167,-0.745974909,-2.636320088,-0.624901585,1.08884263,-1.191023946,0.426174611,996.9240756,-1.049041064,walking
2.285514209,0.753082784,-2.111489214,-2.561054728,-1.432823896,-0.052530661,1.921290159,996.5004162,-1.194037138,walking
2.33551525,2.460219494,1.12781037,1.797929935,-2.315467596,1.002345681,-0.064810731,1003.092782,1.048303552,walking
2.402536333,-3.038473454,1.016491079,0.698922657,0.009241115,0.824337363,-0.041274171,1001.740605,0.590777554,walking
2.41768965,3.053470978,0.92671293,-3.310002362,1.394429803,-0.582458139,1.435677767,1001.544823,0.524429511,walking
2.452537375,3.855389122,2.308846775,-1.121557066,0.243692741,-0.319712281,-1.349694252,997.0336439,-1.011561741,walking
2.502538417,0.071352988,-2.549126993,1.746206635,-0.085289933,-0.510702014,-2.713488817,1002.847178,0.965292312,walking
2.552539458,-4.397178676,-4.860980114,0.528522514,-0.360323101,0.06972149,0.067199931,1000.41455,0.140888454,walking
